start,duration,speakers
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,2
59,1,1
60,1,1
61,1,0
62,1,0
63,1,0
64,1,2
65,1,1
66,1,2
67,1,1
68,1,1
69,1,1
70,1,1
71,1,4
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,2
78,1,1
79,1,1
80,1,1
81,1,2
82,1,1
83,1,1
84,1,1
85,1,1
86,1,2
87,1,1
88,1,2
89,1,2
90,1,1
91,1,1
92,1,3
93,1,3
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,3
102,1,1
103,1,1
104,1,1
105,1,4
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,0
115,1,1
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,3
139,1,1
140,1,3
141,1,2
142,1,2
143,1,4
144,1,3
145,1,3
146,1,2
147,1,4
148,1,1
149,1,3
150,1,1
151,1,3
152,1,1
153,1,3
154,1,1
155,1,1
156,1,1
157,1,1
158,1,2
159,1,2
160,1,1
161,1,3
162,1,1
163,1,1
164,1,1
165,1,2
166,1,4
167,1,1
168,1,3
169,1,5
170,1,4
171,1,1
172,1,1
173,1,3
174,1,1
175,1,3
176,1,5
177,1,2
178,1,3
179,1,2
180,1,4
181,1,4
182,1,5
183,1,1
184,1,3
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,3
195,1,2
196,1,1
197,1,3
198,1,2
199,1,4
200,1,1
201,1,2
202,1,3
203,1,1
204,1,3
205,1,2
206,1,2
207,1,2
